Player Name,Club Name,Total,Short,Medium,Long,,Expected,Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Ast
Phil Foden,Manchester City,eng ENG,"FW,MF",23,45.7,25726,2222,4849,1251,1329,94.1,502,80,8,221,161,50.3,Matches
Kyle Walker,Manchester City,eng ENG,DF,33,43.3,44094,2920,10308,1201,1276,94.1,1142,35,14,191,298,69.8,Matches
Manuel Akanji,Manchester City,ch SUI,"DF,MF",28,42.0,45530,2986,12409,1415,1470,96.3,1176,21,2,195,202,78.2,Matches
Erling Haaland,Manchester City,no NOR,FW,23,41.5,4131,477,729,241,295,81.7,80,19,0,37,8,62.5,Matches
Rúben Dias,Manchester City,pt POR,DF,26,41.4,57984,3567,18738,1429,1480,96.6,1699,13,3,227,262,74.0,Matches
Bernardo Silva,Manchester City,pt POR,"FW,MF",28,40.4,29925,2296,6142,1175,1250,94.0,650,63,13,212,177,68.4,Matches
Ederson,Manchester City,br BRA,GK,29,39.3,31417,1483,21063,331,334,99.1,680,1,0,4,451,66.3,Matches
Joško Gvardiol,Manchester City,hr CRO,DF,21,38.2,34088,2540,8359,1258,1355,92.8,841,24,3,183,140,74.3,Matches
Julián Álvarez,Manchester City,ar ARG,"MF,FW",23,37.3,16271,1442,3526,721,791,91.2,307,44,4,122,163,42.9,Matches
Nathan Aké,Manchester City,nl NED,"DF,MF",28,32.0,32649,2286,10586,1091,1134,96.2,924,9,3,148,106,58.5,Matches
Mateo Kovačić,Manchester City,hr CRO,MF,29,28.8,24994,1879,5604,1048,1086,96.5,613,18,0,116,69,71.0,Matches
Jeremy Doku,Manchester City,be BEL,"FW,MF",21,24.2,12062,1036,1905,550,615,89.4,252,53,10,71,38,81.6,Matches
Jack Grealish,Manchester City,eng ENG,"FW,MF",27,21.5,10910,875,1695,443,479,92.5,247,34,0,74,53,67.9,Matches
Kevin De Bruyne,Manchester City,be BEL,MF,32,19.4,13386,1134,3889,495,558,88.7,259,60,12,126,158,47.5,Matches
John Stones,Manchester City,eng ENG,"DF,MF",29,19.0,17024,1146,4189,541,572,94.6,456,1,0,80,72,79.2,Matches
Stefan Ortega,Manchester City,de GER,GK,30,18.1,8239,439,5800,101,102,99.0,171,0,0,0,160,51.9,Matches
Rico Lewis,Manchester City,eng ENG,"MF,DF",18,17.2,12352,935,1948,524,546,96.0,291,15,0,63,41,68.3,Matches
Matheus Nunes,Manchester City,pt POR,"MF,FW",24,14.1,9152,766,1573,427,464,92.0,196,27,3,70,39,56.4,Matches
Oscar Bobb,Manchester City,no NOR,"FW,MF",20,8.8,3002,276,638,161,171,94.2,60,25,2,31,4,100.0,Matches
Sergio Gómez,Manchester City,es ESP,"DF,FW",22,4.9,3222,246,539,121,130,93.1,83,8,4,10,12,58.3,Matches
Kalvin Phillips,Manchester City,eng ENG,MF,27,3.5,2877,187,769,76,79,96.2,79,1,1,17,17,76.5,Matches
Micah Hamilton,Manchester City,eng ENG,FW,19,1.4,349,33,27,23,24,95.8,4,1,0,2,1,100.0,Matches
Cole Palmer,Manchester City,eng ENG,MF,21,1.4,51,5,0,2,2,100.0,2,0,0,0,0,,Matches
Jacob Wright,Manchester City,eng ENG,FW,17,0.2,117,8,21,4,4,100.0,4,0,0,0,0,,Matches
Mahamadou Susoho,Manchester City,es ESP,MF,18,0.2,178,15,34,10,11,90.9,3,0,0,1,1,100.0,Matches
Aymeric Laporte,Manchester City,es ESP,DF,29,0.1,202,11,48,4,4,100.0,7,0,0,0,0,,Matches
James Mcatee,Manchester City,eng ENG,MF,20,0.0,0,0,0,0,0,,0,0,0,0,0,,Matches
William Saliba,Arsenal,fr FRA,DF,22,50.0,54637,3635,19635,1554,1650,94.2,1610,7,1,188,192,65.6,Matches
Gabriel Magalhães,Arsenal,br BRA,DF,25,48.1,42857,2863,13609,1112,1172,94.9,1270,11,1,148,252,54.4,Matches
Declan Rice,Arsenal,eng ENG,MF,24,47.4,43340,2910,11744,1202,1297,92.7,1135,43,2,347,277,64.6,Matches
Ben White,Arsenal,eng ENG,DF,25,45.3,34691,2707,12287,1242,1365,91.0,898,51,10,243,201,47.3,Matches
Martin Ødegaard,Arsenal,no NOR,MF,24,44.9,31154,2402,9190,1080,1181,91.4,766,143,13,397,172,65.7,Matches
