Player Name,Club Name,Minutes%,Position,GoalsAllowedByTeamInHisPresence,GoalsScoredByTeamInHisPresence-GoalsScoredByTeamInHisAbsence,MinutesPlayed,MinutesPlayed/Match,Player,GamesStarted,MinutesStarted/Match,MatchesCompleted,SubstitueAppearances,Minutes/Substitution,GameAsUnusedSub,TeamPointsPerMatch,GoalsScoredByTeamInHisPresence,GoalsScored-GoalsAllowed,GoalsScored-GoalsAllowed/90,xGOfTeamScoring,xGOfTeamConceding,xGOfTeamScoring-xGOfTeamConceding,xGOfTeamScoring-xGOfTeamConceding/90,xGOfTeamScoringWithHim-xGOfTeamScoringWithoutHim/90,+/-,+/-90
Aleksandar Stanković,Inter,,FW,,,,,,0,,0,0,,17,,,,,,,,,,Matches,
Giacomo Stabile,Inter,,DF,,,,,,0,,0,0,,14,,,,,,,,,,Matches,
Issiaka Kamate,Inter,,MF,,,,,,0,,0,0,,4,,,,,,,,,,Matches,
Rodri,Manchester City,81.7,MF,41,+0.27,"4,167",87,46.3,48,87,38,0,,5,2.48,116,+75,+1.62,91.3,33.9,+57.5,+1.44,+0.82,Matches,
Phil Foden,Manchester City,79.3,"FW,MF",42,-0.61,"4,114",81,45.7,46,86,28,5,29,5,2.27,106,+64,+1.40,84.2,33.8,+50.5,+1.29,-0.01,Matches,
Kyle Walker,Manchester City,75.1,DF,41,-0.50,"3,900",87,43.3,43,88,38,2,52,8,2.33,104,+63,+1.45,80.5,32.9,+47.6,+1.32,+0.11,Matches,
Manuel Akanji,Manchester City,72.8,"DF,MF",39,-0.01,"3,778",82,42.0,42,87,36,4,31,6,2.30,103,+64,+1.52,71.0,32.9,+38.1,+1.08,-0.80,Matches,
Erling Haaland,Manchester City,71.9,FW,41,-0.55,"3,733",83,41.5,43,86,27,2,25,2,2.29,100,+59,+1.42,80.8,31.5,+49.3,+1.33,+0.16,Matches,
Rúben Dias,Manchester City,71.8,DF,40,-0.93,"3,729",85,41.4,41,89,38,3,28,10,2.39,97,+57,+1.38,84.4,30.7,+53.6,+1.47,+0.70,Matches,
Bernardo Silva,Manchester City,73.1,"FW,MF",40,-0.83,"3,638",77,40.4,41,87,30,6,14,4,2.38,96,+56,+1.39,74.5,31.0,+43.5,+1.27,-0.08,Matches,
Ederson,Manchester City,68.1,GK,34,+0.38,"3,535",86,39.3,41,86,37,0,,10,2.39,98,+64,+1.63,87.4,32.6,+54.8,+1.44,+0.69,Matches,
